amc,metric,coverage_pct
ABSL,aum,100.0
ABSL,cagr_1y,100.0
ABSL,cagr_3y,100.0
ABSL,cagr_5y,88.88888888888889
ABSL,down_beta,100.0
ABSL,iqr_3y,100.0
ABSL,iqr_5y,88.88888888888889
ABSL,ir,100.0
ABSL,manager_experience,100.0
ABSL,max_dd,100.0
ABSL,pb,100.0
ABSL,pe,100.0
ABSL,return_3m,100.0
ABSL,return_6m,100.0
ABSL,roe,100.0
ABSL,rolling_3y,100.0
ABSL,rolling_5y,88.88888888888889
ABSL,sector_hhi,100.0
ABSL,sharpe,100.0
ABSL,sortino,100.0
ABSL,stock_count,100.0
ABSL,ter,100.0
ABSL,top10,100.0
ABSL,top3_sector,100.0
ABSL,turnover,100.0
ABSL,up_beta,100.0
ABSL,volatility,100.0
AXIS,aum,100.0
AXIS,cagr_1y,100.0
AXIS,cagr_3y,100.0
AXIS,cagr_5y,77.77777777777779
AXIS,down_beta,100.0
AXIS,iqr_3y,77.77777777777779
AXIS,iqr_5y,77.77777777777779
AXIS,ir,100.0
AXIS,manager_experience,100.0
AXIS,max_dd,100.0
AXIS,pb,100.0
AXIS,pe,100.0
AXIS,return_3m,100.0
AXIS,return_6m,100.0
AXIS,roe,100.0
AXIS,rolling_3y,77.77777777777779
AXIS,rolling_5y,77.77777777777779
AXIS,sector_hhi,100.0
AXIS,sharpe,100.0
AXIS,sortino,100.0
AXIS,stock_count,100.0
AXIS,ter,100.0
AXIS,top10,100.0
AXIS,top3_sector,100.0
AXIS,turnover,100.0
AXIS,up_beta,100.0
AXIS,volatility,100.0
BAJAJ,aum,100.0
BAJAJ,cagr_1y,100.0
BAJAJ,cagr_3y,0.0
BAJAJ,cagr_5y,0.0
BAJAJ,down_beta,0.0
BAJAJ,iqr_3y,0.0
BAJAJ,iqr_5y,0.0
BAJAJ,ir,0.0
BAJAJ,manager_experience,100.0
BAJAJ,max_dd,100.0
BAJAJ,pb,100.0
BAJAJ,pe,100.0
BAJAJ,return_3m,100.0
BAJAJ,return_6m,100.0
BAJAJ,roe,100.0
BAJAJ,rolling_3y,0.0
BAJAJ,rolling_5y,0.0
BAJAJ,sector_hhi,100.0
BAJAJ,sharpe,0.0
BAJAJ,sortino,0.0
BAJAJ,stock_count,100.0
BAJAJ,ter,100.0
BAJAJ,top10,100.0
BAJAJ,top3_sector,100.0
BAJAJ,turnover,100.0
BAJAJ,up_beta,0.0
BAJAJ,volatility,100.0
BANDHAN,aum,100.0
BANDHAN,cagr_1y,100.0
BANDHAN,cagr_3y,100.0
BANDHAN,cagr_5y,77.77777777777779
BANDHAN,down_beta,88.88888888888889
BANDHAN,iqr_3y,77.77777777777779
BANDHAN,iqr_5y,77.77777777777779
BANDHAN,ir,88.88888888888889
BANDHAN,manager_experience,100.0
BANDHAN,max_dd,100.0
BANDHAN,pb,0.0
BANDHAN,pe,0.0
BANDHAN,return_3m,100.0
BANDHAN,return_6m,100.0
BANDHAN,roe,0.0
BANDHAN,rolling_3y,77.77777777777779
BANDHAN,rolling_5y,77.77777777777779
BANDHAN,sector_hhi,0.0
BANDHAN,sharpe,88.88888888888889
BANDHAN,sortino,88.88888888888889
BANDHAN,stock_count,100.0
BANDHAN,ter,100.0
BANDHAN,top10,100.0
BANDHAN,top3_sector,100.0
BANDHAN,turnover,100.0
BANDHAN,up_beta,88.88888888888889
BANDHAN,volatility,100.0
BARODA,aum,100.0
BARODA,cagr_1y,100.0
BARODA,cagr_3y,77.77777777777779
BARODA,cagr_5y,22.22222222222222
BARODA,down_beta,88.88888888888889
BARODA,iqr_3y,22.22222222222222
BARODA,iqr_5y,22.22222222222222
BARODA,ir,88.88888888888889
BARODA,manager_experience,100.0
BARODA,max_dd,100.0
BARODA,pb,100.0
BARODA,pe,100.0
BARODA,return_3m,100.0
BARODA,return_6m,100.0
BARODA,roe,100.0
BARODA,rolling_3y,22.22222222222222
BARODA,rolling_5y,22.22222222222222
BARODA,sector_hhi,100.0
BARODA,sharpe,88.88888888888889
BARODA,sortino,88.88888888888889
BARODA,stock_count,100.0
BARODA,ter,100.0
BARODA,top10,100.0
BARODA,top3_sector,100.0
BARODA,turnover,100.0
BARODA,up_beta,88.88888888888889
BARODA,volatility,100.0
BOI,aum,100.0
BOI,cagr_1y,85.71428571428571
BOI,cagr_3y,71.42857142857143
BOI,cagr_5y,57.14285714285714
BOI,down_beta,71.42857142857143
BOI,iqr_3y,57.14285714285714
BOI,iqr_5y,57.14285714285714
BOI,ir,71.42857142857143
BOI,manager_experience,100.0
BOI,max_dd,85.71428571428571
BOI,pb,100.0
BOI,pe,100.0
BOI,return_3m,85.71428571428571
BOI,return_6m,85.71428571428571
BOI,roe,100.0
BOI,rolling_3y,57.14285714285714
BOI,rolling_5y,57.14285714285714
BOI,sector_hhi,100.0
BOI,sharpe,71.42857142857143
BOI,sortino,71.42857142857143
BOI,stock_count,100.0
BOI,ter,100.0
BOI,top10,100.0
BOI,top3_sector,100.0
BOI,turnover,100.0
BOI,up_beta,71.42857142857143
BOI,volatility,85.71428571428571
CANARA,aum,100.0
CANARA,cagr_1y,100.0
CANARA,cagr_3y,87.5
CANARA,cagr_5y,62.5
CANARA,down_beta,87.5
CANARA,iqr_3y,75.0
CANARA,iqr_5y,62.5
CANARA,ir,87.5
CANARA,manager_experience,100.0
CANARA,max_dd,100.0
CANARA,pb,100.0
CANARA,pe,100.0
CANARA,return_3m,100.0
CANARA,return_6m,100.0
CANARA,roe,100.0
CANARA,rolling_3y,75.0
CANARA,rolling_5y,62.5
CANARA,sector_hhi,100.0
CANARA,sharpe,87.5
CANARA,sortino,87.5
CANARA,stock_count,100.0
CANARA,ter,100.0
CANARA,top10,100.0
CANARA,top3_sector,100.0
CANARA,turnover,100.0
CANARA,up_beta,87.5
CANARA,volatility,100.0
DSP,aum,100.0
DSP,cagr_1y,100.0
DSP,cagr_3y,87.5
DSP,cagr_5y,87.5
DSP,down_beta,75.0
DSP,iqr_3y,87.5
DSP,iqr_5y,87.5
DSP,ir,75.0
DSP,manager_experience,100.0
DSP,max_dd,100.0
DSP,pb,100.0
DSP,pe,100.0
DSP,return_3m,100.0
DSP,return_6m,100.0
DSP,roe,100.0
DSP,rolling_3y,87.5
DSP,rolling_5y,87.5
DSP,sector_hhi,100.0
DSP,sharpe,75.0
DSP,sortino,75.0
DSP,stock_count,100.0
DSP,ter,100.0
DSP,top10,100.0
DSP,top3_sector,100.0
DSP,turnover,100.0
DSP,up_beta,75.0
DSP,volatility,100.0
EDEL,aum,100.0
EDEL,cagr_1y,100.0
EDEL,cagr_3y,87.5
EDEL,cagr_5y,75.0
EDEL,down_beta,87.5
EDEL,iqr_3y,75.0
EDEL,iqr_5y,75.0
EDEL,ir,87.5
EDEL,manager_experience,100.0
EDEL,max_dd,100.0
EDEL,pb,100.0
EDEL,pe,100.0
EDEL,return_3m,100.0
EDEL,return_6m,100.0
EDEL,roe,100.0
EDEL,rolling_3y,75.0
EDEL,rolling_5y,75.0
EDEL,sector_hhi,100.0
EDEL,sharpe,87.5
EDEL,sortino,87.5
EDEL,stock_count,100.0
EDEL,ter,100.0
EDEL,top10,100.0
EDEL,top3_sector,100.0
EDEL,turnover,100.0
EDEL,up_beta,87.5
EDEL,volatility,100.0
FT,aum,100.0
FT,cagr_1y,100.0
FT,cagr_3y,83.33333333333334
FT,cagr_5y,83.33333333333334
FT,down_beta,83.33333333333334
FT,iqr_3y,83.33333333333334
FT,iqr_5y,83.33333333333334
FT,ir,83.33333333333334
FT,manager_experience,100.0
FT,max_dd,100.0
FT,pb,100.0
FT,pe,100.0
FT,return_3m,100.0
FT,return_6m,100.0
FT,roe,100.0
FT,rolling_3y,83.33333333333334
FT,rolling_5y,83.33333333333334
FT,sector_hhi,100.0
FT,sharpe,83.33333333333334
FT,sortino,83.33333333333334
FT,stock_count,100.0
FT,ter,100.0
FT,top10,100.0
FT,top3_sector,100.0
FT,turnover,100.0
FT,up_beta,83.33333333333334
FT,volatility,100.0
GROWW,aum,100.0
GROWW,cagr_1y,100.0
GROWW,cagr_3y,100.0
GROWW,cagr_5y,100.0
GROWW,down_beta,100.0
GROWW,iqr_3y,100.0
GROWW,iqr_5y,100.0
GROWW,ir,100.0
GROWW,manager_experience,100.0
GROWW,max_dd,100.0
GROWW,pb,100.0
GROWW,pe,100.0
GROWW,return_3m,100.0
GROWW,return_6m,100.0
GROWW,roe,100.0
GROWW,rolling_3y,100.0
GROWW,rolling_5y,100.0
GROWW,sector_hhi,100.0
GROWW,sharpe,100.0
GROWW,sortino,100.0
GROWW,stock_count,100.0
GROWW,ter,100.0
GROWW,top10,100.0
GROWW,top3_sector,100.0
GROWW,turnover,100.0
GROWW,up_beta,100.0
GROWW,volatility,100.0
HDFC,aum,100.0
HDFC,cagr_1y,100.0
HDFC,cagr_3y,100.0
HDFC,cagr_5y,88.88888888888889
HDFC,down_beta,88.88888888888889
HDFC,iqr_3y,88.88888888888889
HDFC,iqr_5y,88.88888888888889
HDFC,ir,88.88888888888889
HDFC,manager_experience,100.0
HDFC,max_dd,100.0
HDFC,pb,100.0
HDFC,pe,100.0
HDFC,return_3m,100.0
HDFC,return_6m,100.0
HDFC,roe,100.0
HDFC,rolling_3y,88.88888888888889
HDFC,rolling_5y,88.88888888888889
HDFC,sector_hhi,100.0
HDFC,sharpe,88.88888888888889
HDFC,sortino,88.88888888888889
HDFC,stock_count,100.0
HDFC,ter,100.0
HDFC,top10,100.0
HDFC,top3_sector,100.0
HDFC,turnover,100.0
HDFC,up_beta,88.88888888888889
HDFC,volatility,100.0
ICICI,aum,100.0
ICICI,cagr_1y,100.0
ICICI,cagr_3y,100.0
ICICI,cagr_5y,88.88888888888889
ICICI,down_beta,100.0
ICICI,iqr_3y,88.88888888888889
ICICI,iqr_5y,88.88888888888889
ICICI,ir,100.0
ICICI,manager_experience,100.0
ICICI,max_dd,100.0
ICICI,pb,100.0
ICICI,pe,100.0
ICICI,return_3m,100.0
ICICI,return_6m,100.0
ICICI,roe,100.0
ICICI,rolling_3y,88.88888888888889
ICICI,rolling_5y,88.88888888888889
ICICI,sector_hhi,100.0
ICICI,sharpe,100.0
ICICI,sortino,100.0
ICICI,stock_count,100.0
ICICI,ter,100.0
ICICI,top10,100.0
ICICI,top3_sector,100.0
ICICI,turnover,100.0
ICICI,up_beta,100.0
ICICI,volatility,100.0
INVESCO,aum,100.0
INVESCO,cagr_1y,100.0
INVESCO,cagr_3y,100.0
INVESCO,cagr_5y,88.88888888888889
INVESCO,down_beta,100.0
INVESCO,iqr_3y,88.88888888888889
INVESCO,iqr_5y,88.88888888888889
INVESCO,ir,100.0
INVESCO,manager_experience,100.0
INVESCO,max_dd,100.0
INVESCO,pb,100.0
INVESCO,pe,100.0
INVESCO,return_3m,100.0
INVESCO,return_6m,100.0
INVESCO,roe,100.0
INVESCO,rolling_3y,88.88888888888889
INVESCO,rolling_5y,88.88888888888889
INVESCO,sector_hhi,100.0
INVESCO,sharpe,100.0
INVESCO,sortino,100.0
INVESCO,stock_count,100.0
INVESCO,ter,100.0
INVESCO,top10,100.0
INVESCO,top3_sector,100.0
INVESCO,turnover,100.0
INVESCO,up_beta,100.0
INVESCO,volatility,100.0
ITI,aum,100.0
ITI,cagr_1y,100.0
ITI,cagr_3y,62.5
ITI,cagr_5y,37.5
ITI,down_beta,87.5
ITI,iqr_3y,62.5
ITI,iqr_5y,37.5
ITI,ir,87.5
ITI,manager_experience,100.0
ITI,max_dd,100.0
ITI,pb,100.0
ITI,pe,100.0
ITI,return_3m,100.0
ITI,return_6m,100.0
ITI,roe,100.0
ITI,rolling_3y,62.5
ITI,rolling_5y,37.5
ITI,sector_hhi,100.0
ITI,sharpe,87.5
ITI,sortino,87.5
ITI,stock_count,100.0
ITI,ter,100.0
ITI,top10,100.0
ITI,top3_sector,100.0
ITI,turnover,100.0
ITI,up_beta,87.5
ITI,volatility,100.0
JM,aum,100.0
JM,cagr_1y,87.5
JM,cagr_3y,75.0
JM,cagr_5y,62.5
JM,down_beta,75.0
JM,iqr_3y,62.5
JM,iqr_5y,62.5
JM,ir,75.0
JM,manager_experience,100.0
JM,max_dd,87.5
JM,pb,100.0
JM,pe,100.0
JM,return_3m,87.5
JM,return_6m,87.5
JM,roe,100.0
JM,rolling_3y,62.5
JM,rolling_5y,62.5
JM,sector_hhi,100.0
JM,sharpe,75.0
JM,sortino,75.0
JM,stock_count,100.0
JM,ter,100.0
JM,top10,100.0
JM,top3_sector,100.0
JM,turnover,100.0
JM,up_beta,75.0
JM,volatility,87.5
KOTAK,aum,100.0
KOTAK,cagr_1y,100.0
KOTAK,cagr_3y,100.0
KOTAK,cagr_5y,90.0
KOTAK,down_beta,90.0
KOTAK,iqr_3y,90.0
KOTAK,iqr_5y,90.0
KOTAK,ir,90.0
KOTAK,manager_experience,100.0
KOTAK,max_dd,100.0
KOTAK,pb,100.0
KOTAK,pe,100.0
KOTAK,return_3m,100.0
KOTAK,return_6m,100.0
KOTAK,roe,100.0
KOTAK,rolling_3y,90.0
KOTAK,rolling_5y,90.0
KOTAK,sector_hhi,100.0
KOTAK,sharpe,90.0
KOTAK,sortino,90.0
KOTAK,stock_count,100.0
KOTAK,ter,100.0
KOTAK,top10,0.0
KOTAK,top3_sector,100.0
KOTAK,turnover,100.0
KOTAK,up_beta,90.0
KOTAK,volatility,100.0
LIC,aum,100.0
LIC,cagr_1y,100.0
LIC,cagr_3y,50.0
LIC,cagr_5y,50.0
LIC,down_beta,100.0
LIC,iqr_3y,50.0
LIC,iqr_5y,50.0
LIC,ir,100.0
LIC,manager_experience,100.0
LIC,max_dd,100.0
LIC,pb,100.0
LIC,pe,100.0
LIC,return_3m,100.0
LIC,return_6m,100.0
LIC,roe,100.0
LIC,rolling_3y,50.0
LIC,rolling_5y,50.0
LIC,sector_hhi,100.0
LIC,sharpe,100.0
LIC,sortino,100.0
LIC,stock_count,100.0
LIC,ter,100.0
LIC,top10,100.0
LIC,top3_sector,100.0
LIC,turnover,100.0
LIC,up_beta,100.0
LIC,volatility,100.0
MIRAE,aum,100.0
MIRAE,cagr_1y,100.0
MIRAE,cagr_3y,80.0
MIRAE,cagr_5y,80.0
MIRAE,down_beta,100.0
MIRAE,iqr_3y,80.0
MIRAE,iqr_5y,80.0
MIRAE,ir,100.0
MIRAE,manager_experience,100.0
MIRAE,max_dd,100.0
MIRAE,pb,100.0
MIRAE,pe,100.0
MIRAE,return_3m,100.0
MIRAE,return_6m,100.0
MIRAE,roe,100.0
MIRAE,rolling_3y,80.0
MIRAE,rolling_5y,80.0
MIRAE,sector_hhi,100.0
MIRAE,sharpe,100.0
MIRAE,sortino,100.0
MIRAE,stock_count,100.0
MIRAE,ter,100.0
MIRAE,top10,100.0
MIRAE,top3_sector,100.0
MIRAE,turnover,100.0
MIRAE,up_beta,100.0
MIRAE,volatility,100.0
MM,aum,100.0
MM,cagr_1y,88.88888888888889
MM,cagr_3y,88.88888888888889
MM,cagr_5y,66.66666666666666
MM,down_beta,77.77777777777779
MM,iqr_3y,66.66666666666666
MM,iqr_5y,66.66666666666666
MM,ir,77.77777777777779
MM,manager_experience,100.0
MM,max_dd,88.88888888888889
MM,pb,11.11111111111111
MM,pe,11.11111111111111
MM,return_3m,88.88888888888889
MM,return_6m,88.88888888888889
MM,roe,11.11111111111111
MM,rolling_3y,66.66666666666666
